E(MeV),S(MeV-b),sigma(MeV-b),Marker,Reference
0.11937524,0.009468389,0,s,WO52
0.14084062,0.0078044944,0,o,KI94
0.15325148,0.00983855,0,o,KI94
0.17523715,0.0105237765,0,o,KI94
0.20079476,0.011941335,0,o,KI94
0.20963106,0.014809199,0,o,KI94
0.22937499,0.017744187,0,o,KI94
0.24913251,0.017051417,0,o,KI94
0.29578048,0.021170828,0,o,KI94
0.33446434,0.030146426,0,o,KI94
0.37180588,0.04399231,0,o,KI94
0.3886009,0.05190267,0,o,KI94
0.40691382,0.06298409,0,o,KI94
0.4871391,0.57130194,0,o,KI94
0.49480212,0.85035414,0,o,KI94
0.5001505,1.084658,0,o,KI94
0.5055751,1.7125833,0,o,KI94
0.52328295,1.4865735,0,o,KI94
0.5474008,0.46128792,0,o,KI94
0.55797774,0.28823224,0,o,KI94
0.57911706,0.14236815,0,o,KI94
0.60329026,0.076796375,0,o,KI94
0.6454413,0.034897264,0,o,KI94
0.69589055,0.020227546,0,o,KI94
0.72853565,0.015116665,0,o,KI94
0.7436469,0.01405892,0,o,KI94
0.787911,0.010797581,0,o,KI94
